iter	Passed	Remaining
0	1	111
1	2	99
2	2	90
3	3	82
4	4	78
5	4	76
6	5	74
7	6	73
8	7	74
9	8	74
10	8	71
11	9	70
12	10	71
13	11	71
14	12	70
15	13	69
16	13	68
17	14	66
18	15	65
19	16	65
20	17	64
21	18	64
22	19	63
23	19	62
24	20	61
25	21	60
26	22	59
27	22	58
28	23	58
29	24	57
30	25	56
31	25	54
32	26	54
33	27	53
34	29	53
35	29	53
36	30	51
37	31	50
38	31	49
39	32	49
40	34	48
41	34	47
42	35	46
43	36	45
44	36	44
45	39	46
46	40	45
47	41	44
48	41	43
49	43	43
50	44	42
51	45	41
52	45	40
53	46	39
54	47	38
55	48	38
56	49	37
57	50	36
58	51	35
59	51	34
60	52	33
61	53	32
62	54	31
63	55	31
64	56	30
65	56	29
66	57	28
67	58	27
68	59	26
69	60	25
70	61	25
71	62	24
72	62	23
73	63	22
74	65	21
75	65	20
76	66	19
77	67	19
78	68	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	73	11
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	78	6
92	79	5
93	80	5
94	81	4
95	81	3
96	83	2
97	83	1
98	84	0
99	85	0
