iter	Passed	Remaining
0	1	1005
1	1	951
2	2	931
3	3	862
4	4	819
5	4	792
6	5	772
7	6	759
8	6	742
9	7	737
10	8	732
11	8	728
12	9	719
13	10	725
14	11	729
15	11	737
16	12	730
17	13	726
18	13	721
19	14	721
20	15	731
21	16	731
22	17	728
23	17	727
24	18	723
25	19	721
26	19	718
27	20	714
28	21	712
29	22	712
30	22	709
31	23	710
32	24	709
33	25	711
34	25	712
35	26	713
36	27	715
37	28	715
38	29	714
39	29	717
40	30	721
41	31	722
42	32	722
43	33	721
44	33	719
45	34	718
46	35	716
47	36	714
48	36	713
49	37	712
50	38	711
51	38	709
52	39	710
53	40	710
54	41	711
55	42	710
56	42	708
57	43	713
58	45	720
59	46	723
60	47	723
61	47	723
62	48	721
63	49	720
64	50	719
65	50	718
66	51	717
67	52	716
68	53	715
69	53	714
70	54	715
71	55	714
72	56	715
73	57	715
74	58	715
75	59	717
76	60	722
77	61	721
78	61	719
79	62	717
80	63	715
81	63	713
82	64	708
83	64	706
84	65	704
85	66	703
86	66	701
87	67	700
88	68	698
89	68	697
90	69	696
91	70	696
92	71	696
93	72	694
94	72	692
95	73	694
96	75	700
97	75	699
98	76	697
99	77	695
100	78	694
101	78	692
102	79	691
103	80	690
104	80	689
105	81	687
106	82	686
107	82	684
108	83	682
109	84	681
110	84	680
111	85	679
112	86	679
113	87	678
114	88	677
115	88	677
116	89	676
117	90	675
118	91	673
119	91	672
120	92	671
121	92	669
122	93	667
123	94	665
124	94	664
125	95	663
126	96	661
127	96	659
128	97	658
129	98	657
130	99	657
131	99	657
132	101	659
133	102	659
134	102	658
135	103	657
136	104	658
137	105	656
138	105	655
139	106	653
140	107	652
141	107	649
142	108	647
143	108	645
144	109	644
145	109	642
146	110	640
147	111	639
148	111	637
149	112	637
150	113	635
151	113	635
152	114	634
153	115	634
154	116	633
155	116	632
156	117	631
157	118	630
158	119	630
159	120	632
160	121	630
161	121	629
162	122	629
163	123	628
164	123	627
165	124	626
166	125	624
167	125	623
168	126	622
169	127	621
170	127	620
171	128	619
172	129	619
173	130	618
174	131	617
175	131	617
176	132	616
177	134	620
178	135	619
179	135	618
180	136	617
181	137	616
182	137	614
183	138	613
184	138	611
185	139	610
186	140	609
187	140	608
188	141	606
189	142	605
190	142	604
191	143	604
192	144	603
193	145	602
194	145	601
195	146	600
196	147	600
197	148	600
198	149	599
199	149	598
200	150	597
201	150	596
202	151	595
203	152	594
204	152	593
205	153	591
206	154	590
207	154	589
208	155	588
209	156	587
210	156	586
211	157	586
212	158	585
213	159	584
214	159	584
215	160	583
216	161	582
217	162	581
218	163	581
219	163	581
220	164	580
221	165	579
222	165	577
223	166	576
224	167	575
225	167	574
226	168	573
227	169	572
228	169	571
229	170	570
230	170	568
231	171	567
232	172	567
233	173	566
234	173	565
235	174	565
236	175	564
237	176	563
238	176	563
239	177	563
240	178	562
241	179	561
242	179	560
243	180	559
244	181	558
245	181	557
246	182	556
247	183	555
248	183	554
249	184	553
250	185	552
251	185	551
252	186	550
253	187	550
254	188	550
255	189	549
256	189	548
257	190	547
258	191	547
259	192	546
260	192	546
261	193	545
262	194	544
263	195	543
264	195	542
265	196	541
266	196	540
267	197	539
268	197	537
269	198	536
270	199	535
271	199	534
272	200	533
273	200	532
274	201	531
275	202	530
276	202	529
277	203	529
278	204	528
279	205	527
280	205	527
281	206	526
282	207	525
283	208	524
284	208	523
285	209	522
286	210	521
287	210	520
288	211	520
289	211	518
290	212	517
291	213	516
292	213	515
293	214	514
294	214	513
295	215	512
296	216	511
297	216	510
298	217	510
299	218	509
300	219	508
301	219	507
302	220	506
303	221	506
304	221	505
305	222	504
306	223	503
307	223	503
308	224	501
309	225	500
310	225	499
311	226	498
312	226	497
313	227	496
314	227	495
315	228	494
316	229	493
317	229	492
318	230	492
319	231	491
320	231	490
321	232	489
322	233	488
323	233	487
324	234	487
325	235	486
326	236	486
327	236	485
328	237	484
329	238	483
330	238	482
331	239	481
332	239	480
333	240	479
334	241	478
335	241	477
336	242	476
337	242	475
338	243	474
339	244	473
340	244	473
341	245	472
342	246	471
343	246	470
344	247	470
345	248	469
346	249	468
347	249	468
348	250	467
349	251	466
350	251	465
351	252	464
352	252	463
353	253	462
354	253	461
355	254	460
356	254	459
357	255	458
358	255	457
359	256	456
360	257	455
361	257	454
362	258	453
363	258	452
364	259	451
365	260	450
366	260	450
367	261	449
368	262	449
369	263	448
370	264	447
371	264	446
372	265	446
373	266	445
374	266	444
375	267	444
376	268	442
377	268	442
378	269	441
379	269	440
380	270	439
381	271	438
382	271	437
383	272	436
384	272	435
385	273	434
386	273	433
387	274	433
388	275	432
389	275	431
390	276	430
391	277	429
392	277	428
393	278	427
394	278	427
395	279	426
396	280	425
397	280	424
398	281	423
399	281	422
400	282	421
401	282	420
402	283	419
403	283	418
404	284	417
405	284	416
406	285	415
407	285	414
408	286	413
409	286	412
410	287	411
411	287	410
412	288	409
413	288	408
414	289	407
415	289	406
416	290	405
417	290	404
418	291	404
419	292	403
420	292	402
421	293	401
422	294	401
423	294	400
424	295	400
425	296	399
426	296	398
427	297	397
428	298	396
429	298	395
430	299	395
431	299	394
432	300	393
433	301	392
434	301	391
435	302	391
436	302	390
437	303	389
438	304	388
439	304	388
440	305	387
441	306	386
442	307	386
443	308	385
444	308	385
445	309	384
446	310	383
447	310	383
448	311	382
449	312	381
450	312	380
451	313	380
452	314	379
453	314	378
454	315	377
455	315	376
456	316	376
457	317	375
458	317	374
459	318	373
460	318	372
461	319	372
462	320	371
463	320	370
464	321	369
465	322	369
466	322	368
467	323	367
468	324	366
469	324	366
470	325	365
471	326	364
472	326	364
473	327	363
474	327	362
475	328	361
476	329	360
477	329	359
478	330	359
479	330	358
480	331	357
481	331	356
482	332	356
483	333	355
484	333	354
485	334	353
486	335	353
487	335	352
488	336	351
489	337	351
490	337	350
491	338	349
492	339	349
493	340	348
494	340	347
495	341	346
496	341	346
497	342	345
498	343	344
499	343	343
500	344	342
501	344	342
502	345	341
503	346	340
504	346	339
505	347	339
506	347	338
507	348	337
508	349	337
509	350	336
510	350	335
511	351	335
512	352	334
513	352	333
514	353	333
515	354	332
516	355	331
517	355	331
518	356	330
519	356	329
520	357	328
521	357	327
522	358	327
523	359	326
524	359	325
525	360	324
526	360	323
527	361	323
528	362	322
529	362	321
530	363	320
531	364	320
532	364	319
533	365	318
534	366	318
535	366	317
536	367	316
537	368	316
538	368	315
539	369	315
540	370	314
541	371	313
542	371	312
543	372	312
544	372	311
545	373	310
546	373	309
547	374	308
548	375	308
549	375	307
550	376	306
551	376	305
552	377	304
553	377	304
554	378	303
555	379	302
556	379	302
557	380	301
558	381	300
559	381	300
560	382	299
561	383	298
562	383	298
563	384	297
564	385	296
565	385	295
566	386	295
567	387	294
568	387	293
569	388	292
570	388	292
571	389	291
572	389	290
573	390	289
574	391	289
